filename,width,height,class,xmin,ymin,xmax,ymax
2_jpg.rf.5e4d4ff4386f062717183184f976c1d2.jpg,300,300,Plastic-bottle,85,3,199,171
IMG_20200916_135051_mod_jpg.rf.0913a8a66291c9eecc31e313080b4e81.jpg,300,300,Plastic-bottle,19,72,252,171
ffff_jpg.rf.8ad4e75f29a793a6b88f16388f2f9393.jpg,300,300,Can,86,88,189,224
5790418_jpg.rf.a58f38e7a649f426900fcb4d5a093df6.jpg,300,300,Can,22,30,282,271
beverage-cans-86982_640_jpg.rf.291ac7a3671a8d963358e10e1f5e60df.jpg,300,300,Can,9,180,277,273
beverage-cans-86982_640_jpg.rf.291ac7a3671a8d963358e10e1f5e60df.jpg,300,300,Can,10,114,280,193
beverage-cans-86982_640_jpg.rf.291ac7a3671a8d963358e10e1f5e60df.jpg,300,300,Can,8,33,277,113
IMG_20200916_134603_mod_jpg.rf.d22b1892c4dbab1f3580aa93f4984954.jpg,300,300,Plastic-bottle,68,22,106,168
IMG_20200916_134603_mod_jpg.rf.d22b1892c4dbab1f3580aa93f4984954.jpg,300,300,Cup,150,116,180,170
IMG_20200916_191535_mod_jpg.rf.fface9c082871a1d2b56d6bc59f31490.jpg,300,300,Cup,178,98,288,202
IMG_20200916_191535_mod_jpg.rf.fface9c082871a1d2b56d6bc59f31490.jpg,300,300,Plastic-bottle,9,85,181,185
IMG_20200916_134332_mod_jpg.rf.bdc377a0188c6c45221e6372114fd4af.jpg,300,300,Cup,16,116,94,193
IMG_20200916_134332_mod_jpg.rf.bdc377a0188c6c45221e6372114fd4af.jpg,300,300,Cup,142,113,208,179
IMG_20200916_134332_mod_jpg.rf.bdc377a0188c6c45221e6372114fd4af.jpg,300,300,Plastic-bottle,217,25,285,169
metal282can_jpg.rf.478acd9a2c27621de075c81474fcbcc5.jpg,300,300,Can,2,59,271,297
metal212can_jpg.rf.c2331f7aa3eeed5a7667d2c45efa06f4.jpg,300,300,Can,56,152,212,245
Webcam-1600271833_mod_png.rf.227a7db6b1b48449092fa83d4173eeaa.jpg,300,300,Cup,193,64,284,102
cup-13_jpg.rf.2001d18f7d1567d3e35441acd103beae.jpg,300,300,Cup,143,42,220,192
metal216can_jpg.rf.13e91d9e96f42606cb2f631355fa6538.jpg,300,300,Can,86,72,208,242
disposable-cups-4100892_640_jpg.rf.822dfe945614509c2c85bad1d0b3a07c.jpg,300,300,Cup,48,93,118,197
IMG_20201004_164352_jpg.rf.bff2d72b8f765f0d9ff71df75a0f73e1.jpg,300,300,Cup,114,128,148,161
metal103can_jpg.rf.794c98ec284aaa44378759170edb5535.jpg,300,300,Can,80,85,234,231
right-hand-1598191_640_jpg.rf.a40ffc8d3c05c18cac8c27192413fe6f.jpg,300,300,Plastic-bottle,16,76,290,220
pl_bottle-192_jpg.rf.da8473e8953c425ed020b0d8f9ca813f.jpg,300,300,Plastic-bottle,114,115,168,175
IMG_20200916_135211_mod_jpg.rf.c5c8869dc76a6590b8aaff8752139885.jpg,300,300,Plastic-bottle,54,147,252,244
sand-3167368_640_jpg.rf.bfa7d01ee55433773cfb421411d022a3.jpg,300,300,Plastic-bottle,52,135,101,220
sand-3167368_640_jpg.rf.bfa7d01ee55433773cfb421411d022a3.jpg,300,300,Plastic-bottle,160,144,224,235
sand-3167368_640_jpg.rf.bfa7d01ee55433773cfb421411d022a3.jpg,300,300,Plastic-bottle,152,140,266,190
san-francisco-plastic-water-bottle-ban-2-600x480_jpg.rf.81f63f23ea18124962e7b196f1be5397.jpg,300,300,Plastic-bottle,73,54,257,264
IMG_20200916_134829_mod_jpg.rf.d2ad2931168a805e7b5aad31145a3830.jpg,300,300,Cup,87,110,171,184
IMG_20200916_135247_mod_jpg.rf.664ec61d62ebe7d62e85554c882f8677.jpg,300,300,Plastic-bottle,102,11,198,255
